vintage_id,wine_id
22505105,1577018
5625084,1153456
14523104,1199675
85535788,1099454
28593595,2636560
107242980,77892
150896091,1190066
20682639,1486397
157213587,6363154
23378680,97303
152188378,5360576
19996986,2361514
4015632,75880
15382932,1644452
20330306,1194606
23547604,1183413
93486165,1445351
2760615,1722359
18138912,13810
1241259,1181392
14325617,1100350
4209638,1205204
18099004,1765943
14479487,1119655
1651651,1144766
14553492,85378
14180135,1427885
141937170,1133641
15467527,79394
1826944,1227980
14646513,1163295
14490883,1181471
156810867,2457035
20230512,1303922
20940998,1403663
58308419,1205288
16028816,1163621
159618428,4790542
34481441,2154756
17032520,1712414
17252945,1546807
1349866,1161265
14470143,1178536
144827734,1176749
1259215,86385
17204030,1698526
1768709,1191335
141531876,1134280
19041646,1393134
1879797,1156704
155098835,5844750
39133072,1179831
11451246,1203987
14220024,1171974
18469435,1893803
1744109,1360399
151612388,1162395
26217663,1227495
1668256,1252108
1471253,1141787
14181885,1253723
3978944,84581
36842448,1885785
15317040,4345
26147129,1382685
96742306,1745841
5681330,1158243
22579195,1173355
14409436,76887
2414618,1275264
2130340,1136028
17068254,1759209
154667760,5733727
14725465,1176855
17390428,97479
1470736,1146928
157045127,6316005
17952560,1432306
20048595,1132598
14402353,1170547
73020439,1889517
141673974,2268061
21869692,1400008
16283771,88250
18057454,1244228
21644029,2052995
3288792,1198198
144426756,2023
18439651,8599
28297242,1381112
29429161,3211380
22342633,7780
8756178,2526715
20853355,3962
17763220,8600
151037620,1144715
14559394,85385
153372789,5608859
21862356,16725
144786275,4625
150773437,13868
133102387,4511
1341264,82469
4249436,1144689
14474226,1209669
20740769,1130071
3308145,1872317
143459747,3515173
22665927,1126114
37285232,1215066
2186172,1514819
15489375,1137819
15093700,4601
148308276,1200640
1273261,1133056
20590651,1849720
2035010,1370725
158322156,6667009
4508361,2249444
106463040,100143
1236389,89417
17855429,1164131
15400002,1856082
158174936,6228893
144216164,4537681
29857353,1194496
148763753,1210577
160997899,7399290
48892081,1283671
14306933,1150777
14150142,2468359
15915470,1287516
56392792,76882
2966954,1210523
20363996,1640526
15474996,6238
17402017,79733
25850976,86705
1651572,7769
22050279,1286354
14845245,1188161
106379901,1284818
39504310,4509
19836120,10089
6873204,97224
20727485,1224427
1470043,1153469
2217021,1180350
1518502,1117594
69241988,1129295
3005238,1119729
73461674,1214270
2091993,4622
11418548,1906694
159600955,1234359
144430027,2398235
2962213,1105383
151003294,85383
14824815,13870
158410666,6693342
93989548,1128237
1534910,1136919
41713137,1176145
145311481,4623
20327342,1211493
3802817,81648
15048925,8607
15164716,1126935
15112168,1185776
30219322,2416419
5332520,2144958
14634326,1434566
4261382,2160185
3343290,1914534
15462072,1058
12693015,1553740
21670969,1427122
6107715,1726572
156680957,1141131
4327718,1214921
34309993,1172667
21930659,1658530
14517334,1119814
7660588,1202492
15651596,1098851
14476962,1112241
27359517,1135809
29602477,1199040
137328192,4303550
22338157,2015
14816904,1126934
155682787,5928997
25717827,1457584
24660594,28494
40858707,1524193
32939999,2130465
152604541,2186560
1665397,1181666
5918446,2417481
1424597,1201189
7168684,2399224
1319305,1218210
152652240,2022
11430685,1146826
17874020,16150
11233900,2675720
14441800,8631
1359570,75979
21598768,77884
69244377,73563
22319009,85362
143731638,1135366
3915166,1863472
15234003,1364765
3788990,1127288
3048377,1186080
154973007,1187153
2321265,1166787
25474709,80191
147073565,98621
30261322,85757
14861412,1272881
24083070,3351991
84370171,4026673
142395453,1200526
29729312,1151580
29658937,1210172
1956031,1153459
142005521,3106349
3245131,1499257
12137607,2657507
164943011,1245489
1594949,1199204
14604569,1255221
6297340,1255410
152694328,5460810
26883333,1907542
15386649,11787
1488355,1281497
14494010,43234
141977029,83657
15966883,4787
28845976,2597369
14292596,1186732
10469554,2747087
1887030,1419334
2191564,1229033
21874,13465
154647440,1625129
45360979,1166805
143904895,2816622
63112611,2756195
9477737,2363901
71364400,1267613
4013386,2102081
28400620,1193506
84175867,1742122
143772463,1161484
145612478,4502957
34017241,1146871
2555313,1195850
1235787,1177994
141347565,1172721
20642951,1269915
20770165,1183638
142382229,1370641
14253187,1690674
3441077,1923327
19798021,1198067
18480860,1199466
