vintage_id,wine_id,types
145351654,89390,Red wine
142663977,3651395,Red wine
141188062,3836010,Red wine
146098757,1703662,Red wine
2057940,1084066,Red wine
1194422,1153488,Red wine
2012281,68924,White wine
17967896,89624,Red wine
137165325,2145687,Red wine
23702099,1882725,Red wine
18582128,76409,Red wine
19729721,1994535,Red wine
21346305,1162690,Red wine
15060496,2323540,Red wine
18892244,1478371,Red wine
98177306,4133654,Red wine
15510723,1135538,Red wine
26262622,11109,Red wine
20012517,1162093,Red wine
25440956,1644035,Red wine
15169375,6274,Red wine
14851461,1243389,Red wine
2574544,1308697,Red wine
16285641,74359,White wine
14126118,1182378,Red wine
18002599,1128301,White wine
17967913,75893,Red wine
28235987,1158960,Red wine
3597605,1308761,Red wine
16038274,1099450,Red wine
18701314,1207654,Red wine
14222039,1506422,Red wine
11443145,1190075,Red wine
16235105,6288,Red wine
30048094,2210645,Red wine
10900661,97118,Red wine
85605162,1730840,White wine
14170698,83912,Red wine
15321954,1165047,Red wine
14172452,1141179,Red wine
14580494,1240543,Red wine
15202810,6169,Red wine
18310137,2698781,Red wine
16878275,1209684,Red wine
14891315,4793,Red wine
14568120,1184921,Red wine
14693232,2747941,Red wine
14562013,73470,Red wine
14630559,1276569,Red wine
23881321,1165872,Red wine
148199931,1176471,Red wine
4528020,75896,Red wine
10097319,2716528,Red wine
17901258,14948,Red wine
41570984,2886560,Red wine
4292188,1284755,Red wine
15509295,1140950,White wine
156296767,23477,Red wine
17675907,77141,Red wine
29595623,77716,Red wine
155994920,6044826,Red wine
3989884,1130667,Red wine
29084633,1130542,Red wine
30106521,1149875,Red wine
17671565,2151834,Red wine
21761482,1898084,Red wine
15216364,79826,Red wine
14151763,1130030,Red wine
14947399,1143151,Red wine
26069465,1250300,Red wine
1498012,3879,Red wine
14393444,1512980,Red wine
156117342,1969167,Red wine
20288367,1166307,Red wine
8258161,1193592,Red wine
21148999,1545582,Red wine
14174036,18793,Red wine
15501479,1224334,Red wine
22043258,15636,Red wine
17966809,1165411,Red wine
19060614,2182,Red wine
14658087,18276,Red wine
29273080,1174621,Red wine
158387836,6705594,Red wine
14361945,1520229,Red wine
8825197,1127496,Red wine
15833053,1145808,Red wine
146373667,4335825,Red wine
2657139,1695498,Red wine
16365457,1109164,Red wine
142777910,4440140,Red wine
14749142,1128383,Red wine
15674854,8229,Red wine
102941441,3581947,Red wine
16128802,14947,Red wine
1469048,1161252,Sparkling wine
17128694,51734,Red wine
14739247,1134731,Red wine
16941967,1142427,Red wine
14407934,1977,Red wine
14764039,1148718,Red wine
22566501,2279180,Red wine
144178459,88728,Red wine
14695528,51584,Red wine
25592924,73560,Red wine
17641930,13419,Red wine
15280882,18117,White wine
6097732,83594,Red wine
14289440,92573,Red wine
2783975,1740566,Red wine
14608482,1177659,Red wine
29939116,779338,Red wine
141473434,1158162,Red wine
15398886,1231421,Red wine
14161571,1462396,Rosé wine
14837440,7666,White wine
141908448,1239131,Red wine
36110065,1163924,Red wine
15071387,13305,Red wine
15848570,16566,Red wine
15885944,18283,Red wine
14199764,20727,Red wine
19244665,3141357,Red wine
2964818,1459651,Red wine
25831881,2470172,Red wine
156158237,2506411,Red wine
20766905,1541570,Red wine
14733987,24197,Red wine
4524404,1896267,Red wine
20794335,75583,Red wine
3537198,5100,Red wine
14594716,2602290,Red wine
157666915,6399155,Red wine
63899267,3716384,Red wine
15427424,5093,White wine
14342211,7010,Red wine
20416681,1694823,Red wine
14361846,1134266,Red wine
35277093,3556940,Red wine
16380070,1144187,Red wine
21453041,1868658,Red wine
24870649,3471539,Red wine
16764256,22721,Red wine
2056193,65204,Red wine
14484950,67884,Red wine
22423135,2272631,Red wine
13800855,1282180,Red wine
16778973,21987,Red wine
17570558,18794,Red wine
23794757,1200086,Red wine
19063309,1193886,Red wine
21732822,1454761,Red wine
14207686,4789,Red wine
15130004,1873881,Red wine
160208225,7195399,Red wine
151821001,1779051,White wine
100928145,4117970,Red wine
14306486,1207128,Red wine
3504725,1957597,Red wine
151189502,5261928,Red wine
14358545,16964,Red wine
14260880,1129440,Red wine
87706133,76031,Red wine
146706201,2231353,Red wine
14630692,82433,Red wine
28566653,2188922,Red wine
38278180,1587235,Red wine
1382538,1135982,Red wine
21634295,2524646,Red wine
16019087,1694813,Red wine
20362190,1202838,Red wine
14318160,79814,Red wine
14341950,91140,Red wine
36195151,1926947,Red wine
14318024,1129464,Red wine
17584082,1582441,Red wine
1538925,1236719,Sparkling wine
16400669,83596,Red wine
14544369,24262,White wine
150596824,1141513,Red wine
14266425,1142314,Red wine
14584461,12263,Red wine
2216259,1135799,Red wine
1482435,1196238,Red wine
14454335,1245550,Red wine
15151899,1141810,Red wine
15827291,1666356,Red wine
14653410,1222755,Red wine
14763417,5076,Red wine
1689632,9119,Red wine
14241503,1129387,Red wine
15220245,1817266,Red wine
14206157,3474,Red wine
14345718,1489350,Red wine
14821426,1144063,Red wine
14412494,1635822,Red wine
14423436,1385210,Red wine
14368288,1130406,Red wine
14607649,7005,Red wine
14423362,11890,Red wine
15847846,1141907,Red wine
14513009,10998,Red wine
14201617,1163903,Red wine
14600546,10007,Red wine
16545281,6196,Red wine
18774191,1434,Red wine
14314492,1921825,Red wine
24478206,1152206,Red wine
12834510,1099372,Red wine
3425211,1117316,Red wine
150751861,5230102,Red wine
16063018,97712,Red wine
2193324,97829,Red wine
14160560,4413,Red wine
18613253,68894,Red wine
20959008,1207034,Red wine
21828483,1145382,Red wine
17013676,16485,Red wine
89491212,1676618,Red wine
1611239,1224328,Red wine
14591705,1145737,Red wine
3971134,1190115,Red wine
18417899,13745,Red wine
22666506,1101045,Red wine
65872939,1653817,Red wine
16623309,9997,Red wine
2313266,94097,Red wine
